# Erdal Ronahî <www.ferheng.org>
# Letzte Version: 2005-07-29
# Kurdisch	Deutsch
# Kurdî	Elmanî
alav	Werkzeug
alay	Regiment
Albanîstan	Albanien
alçax	gemein
alçax	infam
alçax	niederträchtig
alçax	niedrig
alem	Bevölkerung
alem	Welt
alewî	Flamme
alif	Futter
alif	Viehfutter
alim	Gelehrte/r
alinçe	Pflaume
aliqîn	necken
alî	erhaben
alî	hoch
alî	Richtung
alî	Seite
alîdar derketin	als Helfer/ Unterstützer erscheinen
alîgir	Anhänger
alîgir	Anhängerin
alîgir	Assistent
alîgir	Helfer
alîgir	Unterstützer
alîkar	Helfer
alîkarî	Hilfe
alîkarî	Unterstützung
alîkarî kirin	helfen
alîm	gelehrt
alîm	Gelehrter
alînegir	neutral
alîsor	Birne
alkol	Alkohol
alman	Deutsche/r	(f/m)
almanî	deutsch
aloq	Mandeln
aloz	kaputt
alozî	Chaos
alûle	enge Straße
am û tam	mündig
am û tam	tadellos
am û tam	volljährig
am û tam	vollkommen
am û tam	vorwurfsfrei
amade	anwesend
amade	bereit
amade	einverstanden
amade	vorbereitet
amade bûn	bereit sein
amade bûn	fertig sein
amade bûn	streben
amade bûn	trachten
amade kirin	vorbereiten
amadebûn	bereit sein
amadebûn	sich vorbereiten
amadekar	jmd. der etw. vorbereitet
amadekari	Vorbereitung
amadekirin	vorbereiten
amajekirin	erklären
amajekirin	sagen
aman	Topf
amanc	Absicht
amanc	Ziel
amanc	Zielscheibe
amanc	Zweck
ambûlans	Krankenwagen
amelîyat kirin	operieren
amin û tamin	mündig
amin û tamin	tadellos
amin û tamin	volljährig
amin û tamin	vollkommen
amin û tamin	vorwurfsfrei
amîral	Admiral
amojin	Frau des Bruders des Vaters
amojin	Tante
amojin	Tante, Frau des Onkels (väterlicherseits)
an	oder
an jî	oder
andonk	Fleischbrühe
ane	Mutter
ango	also
ango	das heißt
ango	deshalb
ango	deswegen
ango	oder
ango	von nun an
angorî	entsprechend
angorî	vergleichsweise
anîn	bringen
anîn	herbringen
anîn	holen
anîn <bîne, weyne, wîne>	mitbringen
anîn cih	erfüllen
anîn cih	realisieren
anîn cih 	verwirklichen
anîn dinê (Menschen)	gebären
anîn holê	ans Licht bringen
anîn holê	offenbaren
anîn holê	zeigen
anîn pê	erbauen
anîn pê	gründen
anîn pê	verbinden
anîn serê	über jdn bringen
anîn şûnde	an die richtige Stelle bringen
anîn şûnde	ausführen
anîn şûnde	vollstrecken
antîpatî	Abneigung
ap	Onkel
ap	Onkel (Bruder des Vaters)
apartman	Hochhaus
apartman	Wohnblock
aprîkos	Marille
aqar	Gegend
aqar	Zone
aqil	Verstand
aqilmend	klug	adj:
aqilmend	schlau
ar	Feuer
aram	friedlich
aram	Geduld
aram	geduldig
aram	leise
aram	ruhig
aram	still
aramdar	beruhigend
aramî	ruhe
aramî	Ruhe 
aramî	Stille
arastekirin	dirigieren
ard	Mehl
ardelîn	Mehlloch
ardû	Brennstoff
argûn	Ofen
argûsk	Mandeln
ariza	Panne
arî	Asche
arîk	Fußboden
arîkar	Assistent
arîkar	Helfer
arîkarî	Hilfe
arîkarîkirin	helfen
arîkarîkirin	unterstützen
arîse	Problem
arkolk	Zange
armanc	Ziel
armanc	Zielscheibe
armanc	Zweck
armanc [mê]	Absicht
aro	Gurke
arsîm	Schnupfen
arta	schon
artêst	Artist
artêst	Künstler
artêst	Schauspieler
artêş	Armee
artêş	Heer
artîst	Artist
artîst	Künstler
artîst	Schauspieler
arû	Gurke
arvan	Mehl
arvan	Mehlsack
arxalix	ärmelloses kurzes Hemd
arxalix	warme Hausjacke
arxayin	ruhig
arxayin	sorglos
arxayin	unbekümmert
arxayîn	ahnungslos
arxayîn	gelassen
arxayîn	ruhig
arxayîn	still
arxayîn kirin	abregen, sich ~
arxayîn kirin	beruhigen, sich ~
asan	einfach
asan	leicht
asan	schlicht
asanî	Leichtigkeit
asaw	Problem
asayî	gewohnt
asayî	normal
asê	abgelegen
asê	hart
asê	hartnäckig
asê	rebellisch
asê	schroff
asê	schwierig
asê	steil
asê	unzugänglich
asê	verlassen
asê bûn	rebellieren
asê bûn	Widerstand leisten
asê kirin	befestigen
asê kirin	verstärken
asêbûn	geschlossen sein	v:
asêbûn	sich verschließen
asêkirin	verschließen
asîman	Himmel
asîtan	Stall
ask	Hirsch
asman	Himmel
aso	Horizont
asogeh	Endhorizont
asorî	assyrisch
asteng	Problem
asteng	Schranke
asteng	Schwierigkeit
asûde	ruhig
asûde	still
Asya	Asien
aş	Essen
aş	Mühle
aş	Mühler
aş	ruhig
aş	still
aşbûn (Kinder	Beruhigen
aşik	Magen
aşikar	bekannt
aşikar	klar
aşikar	offensichtlich
aşiq	Freund/in
aşiq	Geliebte/r
aşiq	Liebhaber/in
aşiq	Liebling
aşî kirin	impfen lassen
aşîtî	Friede
aşîtî	Versöhnung
aşkera	bekannt
aşkera	deutlich
aşkera	klar
aşkera	offen
aşkera	offensichtlich
aşkera	sichtbar
aşkere	deutlich
aşkere	klar
aşkere	offen
aşkere	sichtbar
aşkere kirin	aufdecken
aşkere kirin	bekannt machen
aşkere kirin	enthüllen
aşkere kirin	klären
aşopi	Fantasie
aşopi	imaginär
Aşorî	Assyrer
aşpêj	Koch
aşti	Frieden
aştixwaz	Frieden
aşûjin	Faden
aşvan	Mülle
aşxane	Gaststätte
aşxane	Küche
aşxane	Restaurant
atlêt	Unterhemd
atmece	Falke
atmosfer	Atmosphäre
av	Wasser
ava	bebaut
ava bûn	aufgebaut sein
ava bûn	aufgebaut werden
ava kirin	bauen
ava reş	Glaukom
ava reş	Grüner Star
ava tezî	Kaltwasser
avabûn	Sonnenuntergang
avahî	Bau
avahî	Baustelle
avahî	Bebauung
avahî	bewohnter Ort
avahî	Gebäude
avahî	Haus
avahî	Wohlstand
avakar	Gründer/in
avakirin	aufbauen
avakirin	bauen
avakirin	gründen
avan	Mitschuldige
avban	Schiff
avce	Bier
avceh	Bier
avçî	Wasserverkäufer
avdan	bewässern
avdan	gießen
avdan	überschütten
avdank	Wasserkanne
avdestxane	Abort
avdestxane	Toilette
avdew	Joghurtgetränk
avdoş	Saft
avên	Hefe
avên	Sauerteig
avêtin	schleudern
avêtin	werfen
avêtin <avêj>	schleudern
avêtin <avêj>	werfen
avêtin der	hinauswerfen
avêtin ser	die Schuld zuschreiben
avêtin ser	in die Schuhe schieben
avêtin ser	zuschreiben
avêtina berhev	streiten
avêtîn	wegschaffen
avgerm	Dampfbad
avgerm	heiße Quelle
avgermk	Dampfbad
avgermk	heiße Quelle
avis	schwanger (bei Tieren)
avis	trächtig
avis bûn	schwanger sein
avisbûn	schwanger werden
avîje	sauber
avîtin	werfen
avjen	Schwimmer/in
avjenîkirin	schwimmen
avjenîn	schwimmen
avrêj	Abort
avrêj	Toilette
avrêjk	Pissoir
avrêl	April [m.]
avrû	Abschätzigkeit
avrû	Bescheidenheit
avrû	Scham
avrû	Sittsamkeit
avrû	Verachtung
avsîr	Kartoffel- oder Graupensuppe mit Knoblauch
avukat	Anwalt
awa	Art
awa	Art und Weise
awa	Manier
awa	Methode
awa	Stil
awa	Weise
awa (bi vî awayî)	in dieser Weise
aware	müßig
aware	ohne Arbeit
aware	unbeschäftigt
aware	untätig
aware kirin	nehmen, sich Zeit ~
awarte	außerordentlich
awarte	Ausnahme
awat	Hoffnung
awat	Wunsch
awaz	Klang
awaz	Melodie
awaz	Stimme (Musik)
awaz	Ton
awêne	klar
awêne	Spiegel
awgon	blau
awir	Anblick
awir	Blick
awir	finsterer Blick
awir	Stirnrunzeln
awir	strafender Blick
awirvedan	komisch angucken
Awistirya	Österreich
Awistiryayî	Österreicher/in
ax	ach!
ax	Boden
ax	Erdboden
ax	Grube
ax kirin	lamentieren
ax kirin	stöhnen
ax!	Ach! (Ausruf des Erstaunens)
axa	Agha
axa	Großgrundbesitzer
axaftin	Gespräch
axaftin	sprechen
axiftin	Anrede
axiftin	reden
axiftin	sagen
axil	Gehege
axil	Unterstand
axir	aber
axir	Ende
axir	glücklicherweise
axir	letzte
axir	letzter
axir	letztes
axir	schließlich
axirdewran	Ende der Zeiten
axirdewran	Weltende
axiret	Jenseits
axirzeman	Ende der Zeiten
axirzeman	Weltende
axîn	Jammern
axîn	Seufzen
axîn	Stöhnen
axîn	Wimmern
axîn û nalîn	Totenklage
axîn û nalîn	Wehklage
axpîn	die in unmittelbarer Nähe des Hauses sich befindenden gedüngten Felder
axret	Jenseits
axur	Futtertrog
axur	Pferdestall
axur	Stall
axû	Gift
aya	ob wohl
ayende	Zukunft
ayet	religiöser Lehrsatz
ayin	Andacht
ayîk	Fluch
ayîk	Verwünschung
ayka ji kesekî nemîne	möge der Fluch an jdm nicht haften
ayka ji kesekî nemîne	verflucht sei...
aza	frei
aza	kühn
aza	mutig
aza	selbständig
aza	unabhängig
azad	unabhängig
azadî	Freiheit
azan kirin	zum Gebet rufen
azeb	ledig
azeb	ledige Jungfrau
azeb	lediger Jüngling
azep	ledig
azep	ledige Jungfrau
azep	lediger Jüngling
azîne	Methode
Azrael	der Todesengel, der die Seelen der Verstorbenen empfängt
Azrail	der Todesengel, der die Seelen der Verstorbenen empfängt
ba	Furz
ba	Luft
ba	nebenan
ba	Rheumatismus
ba	Sturm (Luft)
ba	Wind
ba hatin	blasen
ba kirin	ausstoßen (Fluch)
ba kirin	furzen
ba kirin	in die Höhe werfen
ba kirin	von sich geben
babet	Art
babet	brauchbar
babet	derart
babet	geeignet
babet	Qualität
babet	solch
babet	Sorte
babet	Thema
babet	Typ
babetî tijî	genügend voll
bablîsok	Sandhose
bablîsok	Staubwirbel
bablîsok	Sturmbö
bablîsok	Tornado
bablîsok	Windstoß
bablîsok	Wirbelsturm
Babys)	Beruhigen
bac	Abgabe
bac	Gebühr
bac	Steuer
bac	Tribut
bac	Zoll
bacana reş	Aubergine
bacana sor	Tomate
bacanê reş	Aubergine
bacermok	Fledermaus
bacik	Zigarette
baç	Kuss
badan	abbiegen
badan	drehen
badan	Lenkrad
badan	weben
badan	winden
badan <bad>	abwenden
badan <bad>	drehen
badan <bad>	kurbeln
badan <bad>	wenden
badan <bad>	winden
badan <bad>	zusammendrehen
badan <bad>	zwirbeln
bade	Wein
badek	Efeu
bafirok	Drachen
bager	Sturm
bager	Unwetter
bager	Wirbelsturm
bahol	Koffer
bahor	Schnupfen
bahorî	der Schnupfen hat
bahorî	jemand
bahoz	Gewitter
bahoz	Hurrikan
bahoz	Sturm
bahoz	Sturm (Luft)
bahoz	Unwetter
bahoz	Wirbelsturm
bahoz	Wirbelwind
bajar	Stadt
bajarî	Stadtbewohner
bajarî	Städter
bajarî	Städtisch
bajarîbûn	Verstädterung
bajarok	Landkreis
bajarsazî	Städteplanung
bajen	Fächer
bakil	intelligent
bakir	Kuckuck
bakur	Norden
bakûr	Norden
bal	Achtung
bal	Aufmerksamkeit
bal	Geist
bal	Interesse
bal	Verstand
bal dan	Acht geben
bal dan	aufmerksam sein
bal dan	Aufmerksamkeit auf sich ziehen
bal dan	aufpassen
bal kişandin	Aufmerksamkeit auf sich ziehen
bal kişandin	etwas bemerken
bal kişandin	interessieren
bala	Statur
bala	Wuchs
bala xwe dan	Acht geben
bala xwe dan	aufmerksam sein
bala xwe dan	aufpassen auf
bala xwe dan	bemerken
bala xwe dan	beobachten
bala xwe dan	merken
bala xwe dan	vorsichtig sein
balafir	Flugzeug
balav	Wäsche
balcan	Aubergine
baldar	vorsichtig
balduz	Schwägerin
balete	Beginn der Weintraubenreife
balete	Ziel
balete	Zielscheibe
balete bûn	plötzlich auftauchen
balete bûn	zeigen, sich ~
balete bûn	zielen
balete bûn	zum Ziel nehmen
balexane	Wolkenkratzer
balgeh	Kissen
balgeh	Kopfkissen
balgeh	Polster
balgih	Kissen
balgih	Kopfkissen
balgih	Polster
balgî	Kissen
balgî	Polster
balgîh	Kissen
balguh	Kissen
balinde	Adler
balinde	Vogel
balîcan	Melanzani
balîcanê reş	Melanzani
balîf	Kissen
balîf	Kopfkissen
balîf	Polster
balîf 	Kissen
balîv	Kissen
balîv	Polster
balkeş	interessant
balkêş	interessant
balkêşname	Warnhinweis
balkêşname	Warnung
balkon	Balkon
balûr	Schwiele
balyoz	Botschafter
balyoz	Botschafter/in
balyozxane	Botschaft
balyozxane	Botschaft (Diplom.)
balyozxane	diplomatische Vertretung
bamye	Okra
ban	Dach
ban	Decke
ban	Zimmerdecke
ban kirin	herbeirufen
ban kirin	rufen
ban kirin	zurufen
band û betarî	Tonband mit Batterie
banda birînê	Pflaster
bandev	Schneesturm
bandor	Einfluss
bandor	Herrschaft
bandor	Joch
bandor	Wirkung
bandorlêkirin	beeinflussen
bandûr	Einfluss
bandûr	Herrschaft
bandûr	Joch
bane	Alm [f.]
bane	Hochebene
bane	Wiese
baneşan	Ausrufzeichen
bang	Aufruf
bang	Einladung
bang	Geräusch
bang	Ruf zum Gebet
bang	Stimme
bang kirin	ausrufen
bang kirin	rufen
bang kirin	schreien
bang kirin	zurufen
banga alîkarîyê	Notruf
bangewazî	Aufruf
banî	Hochebene
banî	Höhen
banî	höher
banî	oben
banî	Tafelberg
banîje	Dach
banîn	gewöhnen sich
bank	Bank
bano	Dame
bano	Lady
bano	Prinzessin
banok	Balkon
banqe	Bank
banû	Dame
banû	Lady
banû	Prinzessin
banya dan	dazugeben
banya dan	mehr geben
banz dan	springen
bapêş	Schnupfen
bapîr	Großvater
bapîr	Opa
baqil	intelligent
baqil	klug	adj:
baqil	klug
baqil	weise
bar	Bürde
bar	Gepäck
bar	Last
bar	Verantwortung
bar kirin <bar dike>	aufladen
baran	Niederschlag
baran	Regen
baran dibare	es regnet
barandin <barîn>	fallen
barandin <barîn>	regnen
barandin <barîn>	tropfen
barandin <barîn>	vergießen
barandîn	regnen lassen
baranî	Regenmantel
bare	Thema
baregeh	Lager
bargîr	Lastpferd
bargîr	Zugpferd
barîdox	Lage
barîdox	Zustand
barîn	Niederschlag
barîn	schneien
barîn <bar>	regnen
barkirin	beladen
barkirin	belasten
barkirin	fortfahren
barkirin	Platz verlassen
barkirin	umziehen
bas	Arm
bas	Flügel
basik	Arm
basik	Flügel
bask	Arm
bask	Flügel
bastêq	dünne Fladen aus Aprikosen-, Pflaumen-, Maulbeer-, Traubenmus
bastiq	dünne Fladen aus Aprikosen-, Pflaumen-, Maulbeer-, Traubenmus
baş	gesund	adj:
baş	gut
baş	nett
baş	schön
başebaş	geeignet
başebaş	passend
başî	Güte
başîq	Falke
başîq	Gabelweihe
başîq	Sperber
başîx	Falke
başîx	Gabelweihe
başîx	Sperber
başok	Falke
başok	Mäusebussard
başqe	abgeteilt
baştir	lieber
başur	Süden
başûk	Falke
başûk	Gabelweihe
başûk	Sperber
başûke	Falke
başûke	Gabelweihe
başûke	Sperber
başûr	Süden
bav	Vater
bavermend	Glaubender
bavînî	Vaterschaft
bavmarî	Stiefvater
bawer	Glaubender
bawer kirin	glauben
bawer kirin	mein
bawer kirin	vertrauen
bawer pêanîn	glauben
bawer pêanîn	jdm glauben
bawer pêanîn	jdm vertrauen
bawer pêanîn	zugeben
bawerî	Glaube
bawerî	Vertrauen
bawerî anîn	Glauben schenken
bawerîpêanîn	glauben
bawerîpêanîn	vertrauen
bawerîya kesekî bi...anîn	jdm Glauben...entgegenbringen
bawerîya kesekî bi...anîn	jdm Glauben...schenken
bawerkirin	glauben
baweşînk	Ventilator
bawişk	Gähnen
bawîşk	Gähnen
bawîşkê xwe anin	gähnen
bax	Baum
bax	Garten
bax	Strauß (Blumen)
bax	Weinberg 
bax dan	färben
bax dan	streichen
baxçe	Garten
baxê delme	schattenreicher Garten
baxşîş (ereb.)	Bestechung
bayê pak	frische Luft
bayê pak	reine Luft
bayê pak	saubere Luft
baz	Falke
baz	Habicht
baz	Mäusebussard
baz	Sperber
baz dan	springen
bazar	Markt
bazara reş	Schwarzmarkt
bazarbaşî	Marktaufseher
bazarvan	Kaufmann
bazbend	Band, das als Talisman am rechten Arm des Mannes getragen wird
bazdan	fliehen
bazdan	laufen
bazdan	rennen
bazdan	spring
bazdan	springen
bazdan	tanzen
bazdandin	rennen
bazin	Armband
bazin	Armreif
bazin	Armreifen
bazin	Ring
bazirgan	Handelszug
bazirgan	Händler
bazirgan	Karawane
bazirgan	Kaufmann
bazirgan	Zug
bazirganî	Gewerbe
bazirganî	Handel
bebik	Baby
bed	böse
bed	frech
bed	hässlich
bed	schlecht
bed	schlimm
bed	unschön
bed	verwerflich
bedbext	traurig
bedbext	unglücklich
bedbextî	Unglück
bedbîn	pessimistisch
beden	Figur
beden	Gestalt
beden	Körper
beden	Körperglied
beden	Leib
bedev nas	als frech bekannt
bedev nas	als vorlaut bekannt
bedew	ansehnlich
bedew	attraktiv
bedew	hübsch
bedew	lieb
bedew	lieblich
bedew	nett
bedew	schön
bedewî	Schönheit
bedêl kirin	ändern
bedgeh	Rand
bedil	Anzug [m.]
bedilandin	ändern
beg	Frosch
beg	Herr
behicandin	irritieren
behicandin	reizen
behicîn	ärgern sich
behî	Mandel
behîf	Mandel
behîv	Mandel
behr	Anteil
behr	Meer
Behra Wanê	Wanmeer
Behra Wanê	Wansee
behreme	Bohrer
behremend	geschickt	adj:
behremendî	Fertigkeit
behremendî	Talent
behs	Frage
behs	Thema
behs kirin	sprechen von
behsa tiştekî kirin	sprechen von
behsa tiştekî kirin	über etwas berichten
behsa tiştekî kirin	von etwas erzählen
behskirin	berichten
behskirin	erzählen
bejin	Aussehen
bejin	Figur
bejin	Körper
bejin	Statur
bejin	Wuchs
bejn	Aussehen
bejn	Figur
bejn	Körper
bejn	Länge
bejn	Statur
bejn	Wuchs
bejn û bal	Ausdehnung
bel	senkrecht (Augen oder Ohren )
bela	Katastrophe
bela	Missgeschick
bela	Problem
bela	Risiko
bela	Schwierigkeit
bela	Unfall
bela	Unglück
bela sebeb	grundlos
bela sebeb	nutzlos
bela sebeb	sinnlos
bela sebeb	unvernünftig
belade	Erfahrener
belade	Führer
belalûk	Herlitze
belalûk	Kornelkirsche
belalûk	Morelle
belalûk	Sauerkirsche
belam	aber
belam	jedoch
belangaz	arm
belangaz	erbärmlich
belangaz	hoffnungslos
belav	niedergeschlagen
belav	zerbrochen
belav	zerstreut
belav bûn	auseinandergehen
belav bûn	verbreiten, sich ~
belav bûn	verteilt sein
belav bûn	zerstreuen
belav kirin	verteilen
belavkar	Verteiler/in
belavkirin	verteilen
belavok	Abhandlung
belavok	Broschüre
belavok	Flugblatt
belawela	unordentlich
belawelabûn	durcheinander sein
belawelabûn	unaufgeräumt sein
belawelakirin	völlig durcheinander bringen
belayî	Risiko
belayî	Schwierigkeit
belbelîtanik	Schmetterling
Belçîka	Belgien
beled	erfahren
beled	Erfahrener
beled	Führer
beled	kennend
beled	kundig
beled	vertraut
beled	wissend
beledi	Blitz
belek	verschiedenfarbig
belek	vielfarbig
belekîyên berfan	Schneeflecken (im Frühling oder bei Beginn des Winters)
belengaz	arm
belengaz	bedürftig
belengaz	elend
belengaz	unglücklich
belengazî [mê]	Armut
beleqîn	hervorquellen
beleqîn	hervortreten
belê	doch
belê	gewiss
belê	ja
belê	natürlich
belê	okay
belg	Blatt
belgefîlm	Dokumentation
belgenama	Bescheinigung
belgenama	Urkunde
belgitîn	verrecken
belgî	Kennzeichen
belgî	Kissen
belgî	Kopfkissen
belgî	Wappenschild
beli kirin	deutlich machen
beli kirin	klar machen
beliqandin <beliqîn>	lauschen
beliqandin <beliqîn>	Ohren aufstellen
beliqîn <beliq>	einen Strahl machen
beliqîn <beliq>	herausspritzen
beliqîn <beliq>	hervorsprudeln
belî	vorher
belî kirin	lehren
belî kirin	verbreiten
bellemîz kirin	einen Strahl machen
bellemîz kirin	herausspritzen
bellemîz kirin	hervorsprudeln
belog	offenkundig
belogitandin	verrecken lassen
belot kirin	hocken
belot kirin	niederhocken
belweşîn	Aussatz
belweşîn	Lepra
ben	Band
ben	Bindfaden
ben	Schnur
ben	Seil
benat	Evastöchter
benat	Töchter
benatar	Fundament
benc	Betäubungsmittel
benc	Haschisch
benc	Narkotikum
bend	Bündel
bend	Damm
bend	Gefangene/r
bend	Gurt
bend	Materie
bend	Paragraph
bend	Schlinge
bend	Schnur
bend	Schranke
bendav	Staudamm
bende	Diener
bende	Knecht
bende	Sklave
bendek	Bündel
bendeman	erwarten
bender	Hafen
bendergeh	Hafen
bendergeh	Kai
bendewar	erwartungsfroh
bendewar	in Erwartung von
bendewar	interessiert
bendewar	mitfühlend
bendewar	verbunden
bendewar	verwandt
bendewar	vielversprechend
bendik	Bindestrich
bendixane	Gefängnis
bengî	ehrgeizig
bengî bûn	leidenschaftlich verliebt sein
bengî bûn	unsterblich verliebt sein
bengî kirin	betören
bengî kirin	verliebt machen
bengî kirin	verzaubern
bengîn	betörend
bengîn	bezaubernd
bengîn	wild begeistert
bengîn bûn	betört sein
bengîn bûn	betört werden
bengîn bûn	bezaubert sein
bengîn bûn	bezaubert werden
bengz	blumig
bengz	farbig
benik	Band
benik	Binde
benik	Bindfaden
benik	Schnur
benî	Girlande
benî	Kranz
benîk	Girlande
benîk	Kranz
benîşt	Kaugummi
benzîn	Benzin
beq	Frosch
ber	breit
ber	Ergebnis
ber	Frucht
ber	Kelim
ber	Obst
ber	Produkt
ber	Samen
ber	vor
ber	Vorderseite
ber	zu
ber ... re	vor
ber bi pêş	vorwärts
ber bi ve	auf ... zu
ber bi ve	gegen
ber bi ve	geradlinig
ber bi ve	vorwärts
ber bistan	Brustkind
ber bistan	Säugling
ber dil da çûn	beruhigen
ber êvar	gegen Abend
ber gerîn	anflehen
ber nîzam kirin	ausgehoben werden (Militär)
ber nîzam kirin	einberufen werden
ber nîzam kirin	eingezogen werden
ber xistin	aussetzen
ber xistin	unterwerfen
ber xwe dan	ausdauern
ber xwe dan	aushalten
ber xwe dan	widerstehen
ber xwe ketin	genieren, sich ~
ber xwe ketin	schämen, sich ~
ber xwe ketin	verlegen sein
ber xwe ketin	verlegen werden
bera dan	scheiden, sich ~ lassen
bera derekê dan	hineingießen
bera hev dan	aufeinander hetzen
Bera Wanê	Wanmeer
Bera Wanê	Wansee
beradan	abfeuern
beradan	abschießen
beradan	aufeinander hetzen
beran	Schafbock
beran	Widder
beranîn <ber..tîn>	bemächtigen, sich ~
beranîn <ber..tîn>	Besitz ergreifen
beranîn <ber..tîn>	ergreifen
beranîn <ber..tîn>	nehmen
berate	Aas [n.]
berate	Kadaver
berate	Leiche
beraz	Hausschwein
beraz	Schwein
berazê mê	Sau
berban	Balkon
berbang	Morgendämmerung
berbejn	anblasen
berbejn	anhauchen
berbejn	jdn umkreisen
berbejn	Körperzauberspruch
berber	Feind
berber	Gegner
berber	Konkurrent
berberî	Feindschaft
berbext	erwachsen
berbext	heiratsfähig
berbext	Heiratsfähiger
berbext	herangereift
berbext	Jugendlicher
berbi	gegen
berbi	zu
berbiçav	konkret
berbiçav	offenkundig
berbisk	Haarnadel
berbû	Brautbegleiter
berbû	Brautführer
berbûk	Brautbegleiter
berbûk	Brautführer
berbûk	Brautführerin
bercênik	Anhängsel an der Schläfe
bercênîk	Berlocke
bercênîk	Frauenschmuck
berçavfiroş	Brillenverkäufer
berçavfiroş	Optiker
berçavik	Brille
berçavk	Brille
berçavkê tavê/rojê	Sonnenbrille
berd	Stein
berdan	aufgeben
berdan	aufhören
berdan	scheiden, sich ~ lassen
berdan	verlassen
berdan jêr	herablassen
berdan jêr	herunterlassen
berdan jêr	senken
berdandin	lassen
berdar	reichlich
berdax	Glas
berdayîn	loslassen
berdayîn	scheiden lassen	(sich)
berdest	Diener
berdest	Sklave
berdestî	Anhänger
berdestî	Untergebener
berdevk	Repräsentant
berdevk	Spaßmacher
berdevk	Stellvertreter
berdevk	Vertreter
berdewam	ewig
berdewam	ständig
berdewam	unaufhörlich
berdewam	ununterbrochen
berdewam bûn	bestehen
berdewam bûn	bleiben
berdewam bûn	fortdauern
berdewamî	Dauer
berdewamî	Fortsetzung
berdewamî	Kontinuität
berdewamkirin	aufrechterhalten
berdêl	Antwort
berdêlkirin	tauschen
berdil	Erinnerung
berdil	geliebt
berdil	Halskette
berdil	lieb
berdil	verehrungswürdig
berdilk	Geschätzter
berdilk	Schmuck
berdilk	Schwarm
berdîwar	einsam
berdîwar	Waise
bere	natürlich
bere	zuerst
bere bere	allmählich
bere bere	schrittweise
berebere	allmählich
berebere	nach und nach
beredayî	müßig
