###########################
# Lîsteya îngilîzî-kurdî  #
# www.ferheng.org         #
# 5200 peyv               #
# Nûkirin: 2005-07-29     #
# Erdal Ronahî            #
# ferheng@ferheng.org     #
# license: GPL            #
###########################
-yek	an
barîdox	situation
barîdox	state
barîdox	status
barkirin	charge
barkirin	load
basark	air-condition
basark	airconditioner
basîn (Efrîn)	complaint
basîn (Efrîn)	nagging
bask	arm
bask	department
bask	wing
baş	fair
baş	fine
baş	good
baş	okay
baş	right
baş	well
bav	father
bav	sire
baw	normal
bawerî	belief
bawerî	believe
bawerî	credence
bawerî	faith
bawerîpêanîn	believe
bawerkirin	believe
baweşîn	fan
baweşînk	fan
baz	race
bazarî	deal
bazdan	run
bazdan	run away
bazgûrî	relief
bazgûrî	succor
bazin	bracelet
bazirgan	merchant
bazirgan	trader
bazirganî	commerce
bazirganî	trade
bazne	axis
bazne	hub
bazne	pivot
bed	evil
bed	ill
bed	nasty
bed	sinister
bed	ugly
bed	wicked
bedbext	bad omen
bedbext	hapless
bedbext	miserable
bedbext	unhappy
bedbext	unlucky
bedbîn	pessimistic
beden	body
bedew	beauteous
bedew	beautiful
bedew	charming
bedew	fair
bedew	fine
bedew	goodly
bedew	lovely
bedew	pretty
bedewî	beauty
bedewî	pulchritude
bednav	disrepute
behane	cover
behicandin	irritate
behîv	almond
behr	sea
behreme	auger
behreme	borer
behreme	drill
behreme	wimble
behremendî	flair
behremendî	talent
bejn	length
belam	but
belam	however
belavkirin	dispense
belavkirin	distribute
belengaz	poor
belengaztir	poorer
belê	yea
belê	yes
belge	document
belikandin	anesthetization
belikandin	anesthetize
belikandin	deaden
belikandin	numb
beliyandin	confirm
belkî	maybe
beloq	eccentric
beloq	peculiar
ben	rope
benckirin	anesthetization
benckirin	anesthetize
benckirin	deaden
benckirin	numb
bend	cord
bend	dam
bend	matter
bend	paragraph
bende	slave
bendeman	anticipate
bendeman	await
bendeman	expect
bendergeh	harbor
bendergeh	port
bendergeh	wharf
bendik	prose (writing style)
benîtî	slavery
ber	front
ber bi	towards
ber bi jêr	down
berbang	dawn
berbang	daybreak
berber	competitor
berber	rival
berberî	enmity
bercestekirin	embody
bercestekirin	incarnation
berçav	concrete 
berçavk	eyeglasses
berdan	abandon
berdan	allow
berdan	desert
berdan	forsake
berdan	leave
berdan	quit
berdan	relinquish
berdar	abundant
berdar	fertile
berdar	flush
berdar	rich
berdest	ready
berdevk	valve
berdewam	everlasting
berdewam	unremitting
berdewamkirin	maintain
berdil	dear
berdil	necklace
berdîwar	lone
berdîwar	lonely
berdîwar	orphan
bereket	boon
bereket	well-being
berendam	applicant
berendam	candidate
berendam	nominee
berengift	reception party (formal)
berevan	advocate 
berevan	apologist
berevan	attorney 
berevanî	apologia
berê	ago
berê	before
berê	former
berf	snow
berg	cover (e.g mobile coverage)
bergeh	outlook
bergeh	prospect
bergeh	view
bergirî	care
bergirî	caution
berhem	masterpiece
berhem	performance
berhem	products
berhem	trace
berhem	track
berhem	vestige
berhem	writing 
berhevkirin	assemble
berhevkirin	compile
berhevok	compilation
berî	plain
berjeng	evidence
berkar	reaction
bernac	cunning
bernac	cute
bernac	foxy
bernac	leery
bernac	shrewd
bername	programme
berpal	hillside
berpirs	accountable
berpirs	responsible
berpirsiyar	accountable
berpirsiyar	responsible
berpirsiyarî	responsibility
bersiv	answer
bersiv	reply
bersiv	response
bersiv da	replied
bersîv	response
berstûk	collar
bertek	reaction
bertek	response
berwar	declivity
berx	lamb
berxwedêr	stubborn
berzebûn	lose
berzile	skirt
bes	but
bes	enough
bes	just
bes	sufficient
beser	eye
besimîn	smile
best	afflatus
beste	abstract 
beste	figurative
bestenî	ice
beş	chapter
beş	part
beş	section
beş	sections
beşdarî bûn	join
betal	invalid
betal	null
betal	unemployed
betal	void
betalkirin	cancel
betalkirin	postpone
betenî	cover
betilandin	exhaust
betilandin	fatigue
betilandin	tire
betilî	exhausted
betilî	tired
betilîn	exhaustion
betilîn	fatigue
betilîn	tire
betlane	leave
betlane	permission
betlane	vacation
bexişandin	donate
bexişandin	forgive
bexişandin	pardon
bext	destiny
bext	fortune
bext	luck
bextewar	bright
bextewarî	felicity
bextewarî	happiness
bextreş	unlucky fellow
bextvekirî	good fortune
bextvekirî	lucky
beyaban	desert
beyanî	morning
beytû	idle
beytû	indolent
beytû	workless
bê	without
bê-ol	heathen 
bê-ol	idolater
bê-ol	pagan
bêbav	orphan
bêbingeh	baseless
bêcan	dead
bêdawî	endless
bêdawî	everlasting
bêdawî	infinite
bêdawî	perpetual
bêdeng	quiet
bêdengî	silence
bêdil	heartless
bêgav	compelled
bêgav	forced
bêgav	obliged
bêguman	doubtless
bêguman	no doubt
bêguman	surely
bêhemd	unintentionally
bêhempa	unique
bêhn	breath
bêhn	odor
bêhn	smell
bêhude	haphazardly
bêhude	randomly
bêje	vocable
bêje	word
bêjing	sieve
bêjingkirin	sieve
bêjingkirin	sift
bêjî	illegal son (result of an illegal sexual intercourse)
bêjn	size
bêkes	lone
bêkes	lonely
bêkes	orphan
bêkêr	needless
bêkêr	unneeded
bêmal	homeless
bêmêjî	dope
bêparkirin	deprive
bêpere	free
bêpere	free 
bêr	boon
bêr	godsend
bêr	well-being
bêrûmet	mean
bêserûber	disorderly
bêserûber	untidy
bêsiûd	hapless
bêsiûd	unhappy
bêsiûd	unlucky
bêş	ransom
bêtar	cataclysm
bêtar	catastrophe
bêtar	disaster
bêvil	nose
bêxanî	homeless
bêxem	carefree
bêxem	untroubled
bêyî ku	before
bêyom	ill-omened
bêyom	ominous
bêzandin	abhor
bêzandin	scorn
bêzirav	coward
bêzirav	fearful person
bêzirav	shy
bi	by
bi	with
bi ... re	with
bi giştî	generally
bi giştî	in general
bi hev re	together
bi hêrs	ambitious
bi hêrs	angry
bi hêsanî	easily
bi hêsanî	with ease
bi kar anîn	use
bi kar tîne	uses
bi kinahî	briefly
bi kinahî	in brief
bi kinayî	in short
bi kinayî	shortly
bi kotekî	by force
bi kotekî	forcibly
bi kurtasî	in short
bi kurtasî	shortly
bi lez û bez	in a hurry
bi lez û bez	in a rush
bi min	I think...
bi pêş ve	forward
bi piranî	mostly
bi rastî	actually
bi rastî	indeed
bi rastî	really
bi şev	in the night
bi şev	with the night
bi taybet	particularly
bi taybetî	especially
bi taybetî	particularly
bi tenê	only
bi têpan ketin	fit
bi vî awayî	in that way
bi vî awayî	in this way
bi vî rengî	so
bi vî rengî	with this color
bi xêr hatî	welcome
bibandûr	effective
bibîrxistin	remind
biborîne	sorry
bicihanîn	fulfill
bicihanîn	implement
bicihkirin	locate
bicihkirin	place
bicûk	minor
biçûk	little
biçûk	minor
biçûk	small
biçûkahî	childhood
biçûkahî	littleness
biçûkahî	smallness
biçûktir	smaller
bidawîbûn	conclusion
bidawîbûn	end
bidawîbûn	termination
bidawîkirin	conclude
bidawîkirin	end
bidawîkirin	terminate
bidil	volunteer
biha	charge
biha	cost
biha	expensive
biha	price
biha	value
bihabûn	expensiveness
bihabûn	price increase
bihane	cover
bihar	spring
bihar	springtide
bihar	springtime
bihevşabûn	caressing each other
bihevşabûn	lovemaking
bihêz	intense
bihêz	mighty
bihêz	potent
bihêz	powerful
bihêz	robust
bihêz	strong
bihistin	hear
bijang	eyelash
bijare	eminent
bijarte	select
bijî	long live!
bijî	well done!
bijîşk	doctor
bikaranîn	dispose
bikaranîn	employ
bikaranîn	use
bikarhêner	user
bikêrhatî	beneficial
bikêrhatî	useful
bikuj	assassin
bila be	allright!
bila be	ok!
bilbil	nightingale
bilêz	fast
bilind	high
bilind	tall
bilindahî	height
bilindbûn	ascension
bilindbûn	elevation
bilindbûn	rise
bilindkirin	elevate heighten
bilindkirin	hoist
bilindkirin	lift
bilindkirin	raise
bilyan (Efrîn)	awake
bilyan (Efrîn)	conscious
bin	base
bin	below
bin	bottom
bin	floor
bin	ground
bin	under
bin	underneath
binar	versant
binavkirin	characterize
binavkirin	describe
binavkirin	name
binavûdeng	celebrated
binavûdeng	famous
binavûdeng	illustrious
binavûdeng	well known
binçavî	arrest
binçavkirin	arrest
binçavkirin	take into custody
bindest bûn	be under rules or control of someone by force
bindestî	under rules or control of someone by force
binema	bases
binema	component
bingeh	base
bingeh	basis
bingeh	ground
bingehî	fundamentally
bingehîn	basic
binî	base
binî	bottom
binî	floor
binî	ground
binî	underneath
binpêkirin	violate
binyad	base
binyad	basis
binyad	bottom
binyad	master
binyad	root
bir	piece
bir	segment
biran	die out
biran	extinction 
birek	saw
birêk	systematically
birêkirin	forward
birêkirin	send
birêkirin	transmit
birêkûpêk	methodical
birêkûpêk	orderly
birêkûpêk	steady
birêkûpêk	tidy
birêvebirin	administer
birêvebirin	govern
birêveçûn	walk
birêxistinkirin	organize
birêz	sir
birin	carry
birinc	rice
biriqandin	burnish
biriqandin	furbish
biriqandin	polish
biriqîn	beam
birîn	cut
birîndar	wounded
biryar	decision
biryar standin	decide
biserkeftî	successful
biserketî	successful
biserûber	methodical
biserûber	steady
bişirîn	smile
bişkoj	button
bivir	ax
bivir	axe
bixêrî	chimney
bixêrî	funnel
biyan	bizarre
biyan	strange
biyanî	alien
biyanî	exotic
biyanî	foreign
biyanû	excuse
biyanû	pretext
biyolojî	biology
bizav	action
bizav	activity
bizav	motion
bizav	move
bizav	movement
bizav	stir
bizdonek	coward
bizin	goat
bizmar	nail
bîber	pepper
bîhok	quince
bîn	smell
bîner	bystander
bîner	looker-on
bîner	onlooker
bîr	memory
bîr anîn	remember
bîranîn	mention
bîranîn	remember
bîrdoz	ideology 
bîrdoz	theory
bîrnasî	philosophy
bîryar	decisions
bîsk	moment
bîst	twenty
bîşe	jungle
bobelat	accident
bobelat	disaster
bobelat	harm
bobelat	misadventure
boçûn	attitude 
bomb	bombs
borî	passed
borîn	outdo
borîn	surpass
boyax	color
boyax	paint
boyaxkirin	paint
brûsk	bolt
brûsk	telegram
brûsk	wire
buha	charge
buha	cost
buha	price
burs	scholarship
bû	became
bû	been
bû	was
bû ne	becomes
bûk	bride
bûn	be
bûn	become
bûn	being
bûn	grow
bûn	were
bûse	ambush
bûyer	affair
bûyer	event
bûyer	events
bûyîn	grow
camêr	bounteous
camêr	freehanded
camêr	generous
camêr	munificent
camêr	openhanded
camêr	profuse
canbaz	acrobat
canbaz	equilibrist
canberî	shrimp
cangil	jungle
car	era
car	time
car	times
cardin	afresh
cardin	again
carek	once
carinan	sometimes
carna	sometimes
caw	cloth
cawbir	scissors
ceh	barley
cejn	feast
cejn	festival
cemed	ice
cemidandin	freeze
cendek	body
cendek	corpse
ceng	battle
ceng	fight
ceng	war
ceng	warfare
cerge	circle
ceribandin	attempt
ceribandin	experience
ceribandin	try
cêr	pottery
cih	location
cih	locus
cih	place
cih	position
cih	site
cihêreng	original
cil	dress
cindê	sightly
cinsî	sexual
cinsî	sexually
cir	conversation
cir	talk
cis	lime
civak	society
civakî	social
civaknas	sociologist
civaknasî	sociology
civat	community
civîn	convention
civîn	convocation
ciwan	young
ciwanî	adolescence
ciwanî	youth
ciwantir	younger
ciyawaz	adverse
ciyawaz	antonymous
ciyawaz	apposite
ciyawaz	different
ciyok	synonymous 
cî	place
cî	position
cî	site
cîgera spî	lung
cîgir	deputy
cîgir	proxy
cîgir	representative
cîgir	substitute
cîgir	surrogate
cîh	place
cîh	site
cîhan	earth
cîhan	world
cîwar	zone
co	canal
co	channel
co	duct
cok	canal
cok	channel
cok	ditch
cok	duct
cok	trench
coşî	emotion
cot	couple
cot	pair
cot	twosome
cotgeh	farm
cotkar	farmer
cuda	different
cur	sort
cure	sort
cûre	sort
cûre	species
cûzandin 	chaos
cûzandin 	tumult
cûzandin 	turmoil
çak	fair
çak	fine
çak	handsome
çak	well
çalak	active
çalak	living
çalakiyan	activities
çalakiyên	activities
çalakî	action
çalakî	actions
çalakî	activities
çalakî	activity
çand	culture
çap	edition
çap	press
çapemenî	basin
çapkirin	print
çapxane	press
çaremîn	fourth
çarenûs	destiny
çarenûs	fate
çarenûs	karma
çarenûs	kismet
çarenûs	lot
çareserî	solution
çareserkirin	detach
çareserkirin	dissolve
çareserkirin	loosen
çareserkirin	solve
çareserkirin	unfasten
çareserkirin	unfix
çat (Efrîn)	station or parting on a long road
çav	eye
çav	eyes
çavfireh	bounteous
çavfireh	freehanded
çavfireh	generous
çavkanî	fount
çavkanî	fountain
çavkanî	source
çavkanî	spring
çavkanî	wellspring
çavsor	cruel
çavsor	unkind
çavteng	mean
çaw	bar
çaw	rod
çawa	how
çawanî	quality
çax	time
çax	while
çay	tea
çekbend	vest
çekên navokî	atomic weapons 
çeleng	bold
çeleng	brave
çeleng	courageous
çeleng	gamy
çeleng	gritty
çeleng	plucky
çelqandin	agitate
çem	river
çembil	handle
çembil	helve
çembil	stalk
çembil	stem
çemçûs	illiberal
çemçûs	tightfisted
çemçûs	ungenerous
çemek	logic
çemik	principle 
çend	several
çend	some
çendînî	quantity
çenebaz	garrulous
çep	left
çepel	black
çepel	dingy
çepel	dirty
çepel	foul
çepel	impure
çepel	smutty
çepel	sordid
çepel	squalid
çeprew	leftist (political)
çerm	integument
çerm	skin
çert	exclude
çerx	period
çespandin	adhere
çespandin	establish
çespandin	stick to
çespandin 	stick 
çewal	bag
çewal	sack
çewsandin	bruise
çewsîner	tyrant
çewt	wrong
çexer	foot
çê	fine
çê	made
çê	well
çêbûn	grow
çêbûn	happen
çêbûn	transpire
çêj	flavor
çêj	savor
çêj	taste
çêker	maker
çêkirin	build
çêkirin	perform
çêkirin	produce
çêlek	cow
çêre	grass
çêre	herbage
çêregeh	pasture
çêrlêkirin	curse
çêrlêkirin	swear
çêşt	taste
çêtir	better
çi	what
çi be (jî)	whatever
çilfisandin	cabbage
çilfisandin	heist
çilfisandin	snitch
çilfisandin	swipe
çilîçilî	bat
çilmisî	pale
çilmisî	pallid
çilmisî	sallow
çilmisî	wan
çilpik	drop
çima	why
çimkî	since
çir	dense
çir	intensive
çira	lamp
çirav	quagmire
çirav	quagmire 
çirav	swamp
çirçir	hearsay
çirçir	rumour
çirişî	gleam
çirişî	glitter
çirk	second
çirke	second (clock)
çirûsîn	beam
çivîk	sparrow
çiya	mount
çîn	category
çîn	class
çîn	classes
çîn	grade
çîrok	story
çîrok	tale
ço	bar
ço	rod
çogan	rod
çong	knee
çopandin	extort
çort	liar
çû	gone
çûn	go
çûn	going
çûn	went
çûyîn	going
d	d
da	gave
da	mother
dab	pitfall
dab	snare
dab	trap
dabeşkirin	distribute
dabeşkirin	divide
dabêlandin	devour
dabêlandin	engulf
dabêlandin	gobble
dabêlandin	swallow
dabir	apostrophe
dabîn	confirm
dabîn	guarantee
dabînkirin	guarantee 
dad	equity
dad	justice
dad	law
dadan	cover
dadgeh	court
dadyane	equitable
dadyane	fair
dadyane	just
dagirtin	fill
dahatû	future
dahatû	futurity
dahênan	create
dahêner	inventor
dahol	drum
daholjen	drummer
dahûrandin	analyze
dakûdolabî n	collusion
daliqandin	hang
daliqandin	suspend
daman	skirt
damezrandin	build
damezrandin	establish
damezrandin	found
damezrandin	institute
damezrandin	plant
dan	defray
dan	disburse
dane	data
dane	seed
danezan	declaration
daniş	intellectual
daniş	sophisticated
danîn	lay
danîn	place
danîn	put
danîn	set
danîn	stick
danîştin	session
danûstandin	dialogue
danzanîn	tell
dapî	ownership bill
dapî	possession bill
daqurtandin	devour
daqurtandin	engulf
daqurtandin	gobble
dar	tree
dara	rich
dara	wealthy
darbest	coffin
darêjtin	create
daring	materials for studying
daristan	forest
darişt	boon
darişt	well-being
dariştin	arrange 
darizandin	judge
das	sickle
daw	skirt
dawer 	arbitrator
dawer 	referee
dawî	conclusion
dawî	deadline
dawî	end
dawî	ending
dawî	expiration
dawî	final
dawî	finish
dawî	issue
dawî	last
dawî	tail
dawîlêhatin	conclude
daxbar	doleful
daxbar	mournful
daxbar	sad
daxbar	sorrowful
daxbar	sorry
daxbar	woeful
daxuyandin	explain
daxuyandin	state
daxwaz	demand
daxwaz	desire
daxwaz	request
daxwaz	wish
dayende	donor
dayik	mother
dayin	defray
dayin	disburse
dayîk	mother
dayîn	give
debar	livelihood
debar	sustenance
debaz 	allergic
debr	harvest
defandin	push
defdar	entice
defdar	seduce
defter	record
degel	comic
degel	funny
dehemîn	tenth
dehî	oblation
dehî	sacrifice
dehî	victim
dek	ploy
dek	stratagem
dek	trick
delal	dear
delîve	possibility
dem	era
dem	time
dem	times
dem	while
dema şerî	wartime
deman	lease
deman	rent
deman	times
demankirin	hire
demankirin	rent
dembûhêrk	conversation
dembûhêrk	talk
demdemî	ephemeral
demdemî	momentary
demdemî	passing
demdemî	transient
demdemî	transitory
demdemî	volatile
demdirêj	strategy
demjimêr	hours
demjmêr	hour
demkî	tactic 
demokrat	democrat
demokratîk	democratic
demsal	season
dendik	nucleus
dendik	seed
deng	ballot
deng	sound
deng	voice
deng	vote
deng dan	vote
dengdan	call
dengkirin	call
denglêkirin	call
dengûbahs	news
dengûbas	news
deq	dot
deq	masterpiece
deq	spot
deq	text
deq	writing 
deqaq	iron
der	except
der	locus
der	place
der	position
der	seat
der	site
der	space
der	spot
der	without
der barê	about
derb	hit
derbasbûn	outdo
derbasbûn	surpass
derben	checkroom
derbirîn [lêker]	express
derbirîn [mê]	expression 
derd	woe
derdor	entourage
derdor	environs
derek	indefinite
derence	stair
derence	staircase
derence	stairway
derence	step
dereng	late
derew	lie
derew	story
derfet	facility
derfet	possibility
dergûş	cradle
derhûd	guarantor
derhûd	surety
derhûde	bail
derhûde	guarantee
derhûde	security
derizandin	fissure
derizandin	split
derî	door
derkenar	anecdote
derketin	exit
derkirin	excretion
derkirin	expel
dermanfiroş	druggist
dernexon (Efrîn)	upside down
derûder	entourage
derûder	environs
derûnî	psychic
derve	out
derve	outside
derve	without
dervekirin	heist
dervekirin	rob
derveyî	exterior
derveyî	external
derveyî	extrinsic
derveyî	outward
derwarkirin	displace
derya	sea
deskîş	espionage
deskîş	spy 
dest	hand
dest	hands
dest pê kir	began
destavxane	toilet
destbir	charlatan
destbir	quack
destdan	touch
desthilatdar	ruler
desthilatî	power
destik	handle
destik	helve
destik	stalk
destik	stem
destjêberdan	desert
destmal	handkerchief
destpêk	beginning
destpêk	start
destpêkirin	begin
destûr	allowance
destûr	permission
destûr	rule
destûr da	allowed
destûrname	diploma
dev	mouth
dever	region
deverî	local
devik	cover
devik	lid
devkî	oral
devkî	verbal
dewisandin	press
dewisandin	print
dewlemend	rich
dewlemend	wealthy
dewlemendî	opulence
dewlemendî	wealth
dewlet	state
dews	sign
dews	track
dewsgir	successor
dexes	envious
dexes	envy
dexl	corn
dexl	grain
dê	mother
dê	shall
dêhn	attention
dêlemar	lizard
dêlî	grapevine
dêlî	vine
dêm	cheek
dêman	native
dêr	church
dêrîn	noble
dêxûn	waist
di ... de	in
di demê nêzîk de	soon
di nav de	within
dibe ku	perhaps
dibêje	says
dibistan	school
dibistan	schools
difikire	think
difn	nose
digel	common
digel	together
digire	takes
digre	gets
dij	contra
dijber	against
dijber	versus
dijmin	foe
dijûn	cuss
dijwar	difficult
dijwar	tough
dik	scene
dik	stage
dikare	can
dikare	may
dikare	might
dike	does
dike	makes
dil	heart
dilawêr	bold
dilawêr	brave
dilawêr	courageous
dilawêr	gamy
dilawêr	gritty
dilawêr	plucky
dilawêr	valiant
dilbikul	doleful
dilbikul	mournful
dilbikul	sad
dilbikul	sorrowful
dilbikul	sorry
dilbikul	woeful
dildarî	love
dildarî	passion
dilîn	emotion
dilîn	feel
dilîn	feeling
dilîn	sensation
dilîn	sense
dilîn	sentiment
dilînî	emotional
dilînî	sentimental
dilkirin	claim
dilkirin	demand
dilkirin	postulate
dilkirin	require
dilop	drop
dilopkirin	drip
dilopkirin	drop
dilsoz	devoted
dilsoz	faithful
dilsoz	trusty
dilteng	impatient
din	another
din	other
dinya	world
dinyadîtin	experience
dirav	money
diravname	budget
dirêj	long
dirêjbûn	extend
dirêjbûn	lengthen
dirêjbûn	lie
dirêjkirin	elongate
dirêjkirin	extend
dirêjkirin	lengthen
dirêjkirin	prolong
dirî	spine
dirûtin	stitch
dirûv	face
dirûv	figure
dirûv	form
dirûv	shape
dirûvpêketin	resemble
divê	must
divêtin	demand
divêtî	necessity
divêtî	need
diwaroj	future
diwaroj	futurity
dixwîne	reads
diyar	apparent
diyar	broad
diyar	clear
diyar	conspicuous
diyar	evident
diyar	manifest
diyar	obvious
diyar 	apparent
diyar 	obvious
diyarde	phenomena
diyarde	phenomenon
diyarî	gift
diyarî	present
diyarkirin	explain
diyarok	job
diyarok	rank
diyarok	standing
dizane	knows
dizîn	cabbage
dizîn	heist
dizîn	pilfer
dizîn	purloin
dizîn	steal
dîk	chanticleer
dîk	cock
dîk	rooster
dîke	right angle 
dîl	captive
dîmen	image
dîn	crazy
dîn	daft
dîn	demented
dîn	insane
dîn	maniac
dîn	screwy
dînkirin	madden
dîrok	date
dîrok	history
dîrok	story
dîrokî	historic
dîrokî	historical
dîroknas	historian
dîsa	again
dît	found
dît	saw
dîtin	behold
dîtin	find
dîtin	look
dîtin	meet
dîtin	see
dîtin	spot
dîtin	view
dîtî	seen
dîwar	wall
do	yesterday
dol	valley
dolmendî	opulence
dolmendî	wealth
doman	operation
doman	process
domdar	always
domdar	constant
domdar	permanent
domîn	continue
domîn	last
dor	entourage
doran	horizon
dorankirin	alter
dorî	nearly
dorpêçkirin	encircle
dost	friend
dostanî	amity
dot	girl
doz	case
doz	contest
doz	fight
doz	struggle
dozîn	instinct
dubare	repetition
ducan	pregnant
duçerxe	bicycle
dudil	irresolute
dudilî	indecision
duh	yesterday
dukar	rumor
durist	proper
duristkirin	make
duristkirin	perform
durûtî	hypocrisy
duyemîn	second
dû	back
dû	fume
dû car	twice
dûkêl	vapor 
dûpatkirin	explain
dûr	afar
dûr	far
dûr	wide
dûrtir	further
dûv	tail
dûvelenk	satellite
dûvmesas	nightingale
dûvre	then
dûxan	fume
dûxan	smoke
e	is
ecêb	comic
ecêb	curious
